1,2,57,940108260
1,1,52,453535231
0,2,35,981669425
1,3,66,991297466
1,3,38,570883870
1,2,66,391369088
0,1,54,687307746
0,2,26,53937580
1,2,20,548340356
0,2,32,53934173
1,2,22,109677343
0,1,42,180915372
0,3,22,811730762
0,1,45,207846438
0,2,27,835976308
0,3,63,555359273
0,2,33,753099812
1,1,31,479082590
0,1,59,439600770
0,1,44,798935359
1,3,50,132738926
1,1,51,433320975
1,2,37,670745296
0,3,20,705432851
1,1,19,624064179
1,3,69,425139656
0,2,44,380190790
0,3,19,363902870
0,2,33,937621658
1,1,46,81018877
1,3,30,810070376
0,2,37,113642168
1,2,26,373831870
0,1,60,755980263
1,3,38,275010569
1,3,39,181945671
0,2,59,322680526
0,1,57,256240010
1,3,51,469311605
0,1,21,599120164
1,2,67,300359913
1,3,44,132808125
1,1,20,97512762
1,3,53,197125645
0,3,69,907743598
0,2,40,187445401
0,3,70,883914742
0,1,55,639087212
0,3,67,98027301
1,1,33,991345093
1,1,62,16617003
1,3,20,621540275
1,2,26,733550760
1,1,28,348617870
0,3,40,560432578
1,2,37,411788857
1,2,52,505455196
1,3,65,579360631
0,2,54,639818360
1,3,70,409396807
1,1,33,89782082
0,3,65,106516311
0,2,68,3199522
1,1,35,386853502
0,1,45,344924267
0,3,27,305912438
1,3,44,253947660
1,2,68,446091422
1,3,21,380839602
1,1,24,474118905
1,3,68,267989565
1,1,45,794795666
0,2,34,66637651
0,2,29,281548903
1,2,67,402380027
0,1,65,860389692
1,3,64,982741789
0,3,25,980009213
1,2,69,88426334
1,1,31,622458317
1,3,35,259552715
1,3,56,813779064
1,2,68,931267693
1,2,37,234144445
0,1,31,810539530
1,1,66,885497154
0,3,18,457629960
1,3,52,623463905
0,2,59,910590942
1,3,56,995986451
1,2,24,112771977
1,1,21,628144701
1,2,69,297954529
0,3,68,982911454
1,2,26,844985411
0,2,54,798035226
0,3,48,634776930
1,1,21,757958831
0,3,42,37161474
0,2,46,936753579
0,1,45,378089044
0,1,33,88502198
0,1,46,154109889
0,3,49,206859537
1,1,23,50619467
1,1,69,10473571
0,1,35,460655632
1,2,38,790074205
0,1,18,783078384
1,1,43,883447934
