3,1,19,485282223
2,2,49,631949300
1,1,49,620622020
1,1,41,891876965
2,1,27,491086207
2,1,59,469199908
1,2,41,829156575
2,2,31,877848140
2,1,36,594138672
3,2,64,735117154
1,1,51,289111756
2,1,57,957349243
1,2,37,120367343
2,1,31,189174504
2,1,24,683057368
2,1,31,109117422
3,1,50,473623897
2,1,58,455820713
2,1,30,392024459
1,2,38,933236504
1,1,21,251841900
3,1,35,291957530
1,2,23,77534812
3,1,25,784283263
2,2,60,933537909
2,1,58,477001272
1,2,18,594143306
3,1,23,330035708
1,1,42,50159326
1,2,19,983401832
2,1,40,809868469
1,2,47,45745216
2,2,48,205631350
1,2,29,360536981
2,1,30,272558854
3,1,19,133730742
2,1,34,330911208
3,1,41,378280263
1,1,19,927287308
3,2,70,843806274
2,1,61,843793412
1,1,22,422781193
2,1,65,250443668
1,2,47,882901755
1,2,50,128515978
3,1,56,408906089
3,2,58,923518229
1,2,65,192575283
2,2,30,817837316
3,2,67,567647724
2,1,58,949697861
3,2,42,861589396
2,2,60,442301722
3,1,57,234160877
1,1,57,634450870
3,1,55,189446600
3,1,57,176090441
1,1,67,643534298
1,1,42,926348439
3,2,33,479799396
3,2,57,284872637
1,1,52,910253669
2,2,64,777969251
3,1,58,750483306
3,2,43,458211152
1,2,20,918115557
2,2,31,73682432
2,2,37,929420146
2,2,44,599515375
1,1,44,530364230
1,1,63,518447832
2,1,37,793936869
2,1,47,964218532
3,1,37,503878504
2,2,18,355116315
1,1,34,754132429
3,2,48,405810769
3,1,44,163338238
2,1,54,640187379
3,1,18,94806586
3,1,58,727056780
1,2,39,36175404
3,2,21,916382114
3,1,24,295742276
2,1,35,320514468
3,2,23,847653877
1,1,67,445786506
2,2,40,141971385
1,1,48,276974942
3,1,58,718842941
1,2,65,142693385
2,1,52,667212310
1,1,65,263198453
1,1,37,702411814
2,1,54,775525779
1,2,40,636650062
3,1,20,462609654
3,2,46,813997003
2,1,31,130153135
3,1,48,157543862
